107.3,187.37,93.2,86.9,23.9,35.4,6.4,243.333,2274.595,1
102.15,149.38,92.9,84.5,23.7,-43.6,4.5,140.772,2674.598,1
94.42,145.92,79.6,73.4,23.8,-24.9,9.6,102.049,1902.898,2
82.4,170.1,96.2,88.3,23.8,20.7,2.7,194.504,2364.31,3
120.17,152.83,73.2,69,23.9,-10.9,14.6,39.922,1721.516,4
53.22,168.37,86.9,80.8,23.9,-5.9,5.9,174.533,1124.673,5
120.17,121.75,92.3,84.8,23.8,26.6,4.7,217.954,1870.238,3
115.02,139.02,88.6,80.9,23.7,-41.5,4.9,139.979,2656.585,1
97.85,140.74,83.7,77.8,23.8,-4.8,9.7,33.551,600.618,4
98.71,177.87,92.4,86.3,23.9,-1.2,5.3,183.197,988.756,3
83.26,153.69,84.4,78,23.8,-27,9.1,94.149,2067.565,2
84.98,156.29,82,77.2,23.9,-6.8,9,87.582,383.607,6
100.43,132.97,85.3,79.6,23.9,-4.6,8.1,95.05,237.2,6
84.98,149.38,75.4,70.7,23.9,9.4,12.1,307.578,959.337,4
112.45,114.84,86.7,80.6,23.8,-4.7,6.1,159.567,953.212,3
64.38,154.56,94.4,88,23.9,2.6,4.6,192.892,1225.022,3
109.01,164.06,92,84.6,23.8,0.5,3,180.275,2303.733,3
35.19,161.47,88.6,82.3,23.8,-26.9,5.4,140.763,1936.964,1
62.66,158.88,87.9,82,23.9,24.6,4.5,208.978,2116.376,3
88.41,176.14,84.1,79.1,23.9,10.5,8,248.302,847.607,7
90.13,134.7,91.3,84.6,23.8,1.6,3.7,185.837,1800.372,3
65.24,146.79,83.3,78.4,23.9,3.8,7.2,195.152,655.532,6
94.42,167.51,89.6,83.1,23.8,-38.7,5.6,132.827,2456.376,1
48.07,165.78,85.7,79.5,23.8,20.7,6.3,223.694,1752.156,7
136.48,158.01,92.9,86.7,23.9,-32.7,5.5,126.352,2088.31,1
140.77,170.96,82.3,76.7,23.9,10.3,8.9,261.542,551.296,6
65.24,142.47,95.6,88.4,23.8,42.8,3.8,216.713,2566.403,3
127.9,156.29,90.7,85.4,23.9,-6.7,5.2,164.552,1134.855,3
116.74,160.6,90.9,83.8,23.8,30,5.2,224.024,2031.325,1
86.7,150.24,80.9,74.1,23.8,22.1,6.7,220.6,1873.913,2
90.99,133.84,92.9,87,23.9,7.6,4.8,202.53,1190.764,3
115.02,140.74,92.5,86.5,23.9,24.1,5.9,238.42,1600.216,3
131.33,137.29,91.6,84.3,23.8,15.1,5.4,217.223,1289.751,8
91.85,163.19,91.1,85.5,23.9,-1.6,6.1,181.812,608.433,3
94.42,133.84,83.7,77.1,23.8,10.1,8.9,272.212,646.417,6
95.28,130.38,80.8,75.7,23.9,-8.4,10.3,50.17,751.667,6
112.45,139.88,92.3,84.2,23.7,30.4,4.3,213.683,2169.451,3
55.79,148.51,82.6,76,23.8,-0.1,7.4,192.885,756.54,6
119.31,136.43,88,81.4,23.8,-22.7,4,156.628,2192.98,3
128.76,144.2,88.7,83.4,23.9,5.3,7.4,254.435,382.612,5
97.85,147.65,83.5,78.5,23.9,-3.6,9.1,32.178,327.008,6
78.11,149.38,86.5,80.5,23.9,-21.5,4.3,157.189,2117.51,3
113.3,156.29,84.8,79.7,23.9,17.6,6.2,215.062,1394.397,5
126.18,146.79,78.5,72.9,23.8,-10.7,9.6,97.798,731.105,6
130.47,129.52,90.6,83.1,23.8,31.7,5.8,230.254,2007.209,3
111.59,96.71,94.1,86.2,23.8,25.2,3.6,203.872,2024.06,3
120.17,157.15,82.4,76.9,23.9,-8.7,8.4,119.421,595.412,6
148.5,122.61,91.2,83.5,23.8,18.8,5.1,214.737,1519.068,3
142.49,187.37,82.9,79,24,-5.5,9.4,47.796,531.389,6
98.71,131.24,91.3,84.9,23.8,13.1,4.1,200.405,1703.76,5
66.09,144.2,78.8,73.3,23.8,-13,8.8,121.042,839.348,6
121.03,135.56,94.1,86.3,23.8,25.9,4.8,219.723,1780.219,1
136.48,163.19,81.7,76,23.8,20.8,9.9,271.881,1601.791,2
105.58,165.78,89.1,83.9,23.9,-5.6,7.9,64.24,310.942,5
81.55,145.92,88.3,82.3,23.9,32.3,6.1,232.665,2134.539,8
130.47,167.51,91.7,85.6,23.9,28.9,5.8,233.307,1864.369,3
84.98,143.33,91.1,83.9,23.8,23.8,3.9,204.73,2114.991,3
54.08,151.97,90.4,82.7,23.8,-27.5,6.4,123.381,1793.361,1
118.45,145.06,93.6,86.8,23.8,-20.3,4,150.603,1869.752,3
111.59,167.51,93.8,87.3,23.9,38.4,4.5,220.807,2374.062,3
87.55,151.1,84.4,79.2,23.9,-2.4,8.3,138.735,94.282,6
109.01,152.83,78.5,72.8,23.8,24,8.6,241.931,1769.131,2
82.4,147.65,89.6,84.1,23.9,-26.1,5.2,140.488,1812.818,1
